StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22
s195562,Olivia Thomsen,2,2,4,7,12,10,2,10,2,4,7,4,12,7,4,7,4,10,4,7,2,10
s205139,Olivia Sørensen,10,0,12,0,12,2,10,12,7,4,2,12,4,12,12,4,7,7,0,0,4,7
s234211,Simon Knudsen,10,4,2,7,7,7,2,2,4,7,0,2,4,7,7,10,2,4,10,10,10,7
s195066,Alexander Hansen,4,2,0,12,12,4,10,10,2,10,4,0,7,10,2,4,0,0,4,10,12,4
s239586,Alexander Sørensen,4,10,10,4,10,10,-3,0,10,2,7,2,2,0,2,4,2,7,2,12,12,7
s203909,Magnus Olsen,0,4,4,2,10,7,4,0,4,4,0,7,0,4,7,0,0,4,2,12,10,12
s226943,Jacob Laursen,2,4,12,12,10,0,4,12,0,12,10,4,7,10,10,7,4,12,7,2,4,2
s224422,Luna Schmidt,4,2,2,0,4,0,4,12,4,0,10,12,7,4,7,0,12,7,4,4,0,4
s231674,David Carstensen,12,4,12,0,4,7,4,12,0,7,12,10,4,2,4,7,10,2,10,0,12,4
s214871,Camilla Kjeldsen,0,7,12,7,0,4,12,4,0,0,4,2,2,7,4,7,0,0,4,0,2,0
s226658,Oscar Madsen,4,4,7,0,0,7,4,4,4,12,0,10,2,4,4,4,7,4,7,4,12,2
s228546,Luna Vestergaard,4,7,0,4,7,4,12,7,12,10,7,4,7,4,7,4,12,7,4,10,0,4
s219560,Daniel Kristensen,12,4,0,7,12,2,7,0,4,2,0,7,4,10,4,2,0,4,0,10,7,12
s226148,Isabel Madsen,7,10,2,0,7,10,0,4,2,10,10,10,10,7,2,0,10,7,10,10,10,12
s206795,Oliver Knudsen,12,2,4,10,10,4,4,4,0,4,0,2,7,7,12,10,12,12,10,4,10,7
s231061,Sophia Holm,12,7,4,0,12,2,7,2,7,7,12,4,10,10,12,7,2,0,10,10,7,12
s209286,Victor Sørensen,0,2,12,12,7,7,2,12,4,12,12,12,7,12,10,12,7,7,7,10,4,4
s198165,Alexander Jørgensen,4,12,10,2,4,0,0,2,4,10,12,7,4,0,0,4,10,2,7,2,10,2
s235377,Lily Kjeldsen,4,12,2,4,10,4,7,2,7,12,12,4,12,2,2,4,4,4,4,7,2,0
s233416,Anna Johansen,10,4,7,0,4,7,0,4,4,7,7,4,4,2,4,2,7,2,4,2,12,4
s197371,Alma Madsen,0,4,10,7,7,7,12,4,7,7,0,12,12,12,4,12,10,7,2,0,4,4
s236285,Camilla Friis,7,4,0,12,2,4,7,4,2,4,4,10,2,2,10,2,10,4,4,0,7,4
s215830,Viktoria Bach,4,4,0,10,10,12,12,0,0,4,7,4,12,0,4,4,7,0,12,4,12,0
s203770,Oliver Poulsen,0,10,12,2,10,7,2,4,4,0,12,4,0,4,0,0,0,7,7,7,4,2
s224340,Jonas Olsen,7,10,2,7,4,2,12,4,12,2,7,4,7,0,2,10,10,12,10,2,10,4
s224307,Clara Bertelsen,2,10,7,7,10,4,7,4,7,10,10,10,4,2,4,4,4,12,12,0,4,10
