StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27,Assignment28,Assignment29,Assignment30,Assignment31
s224199,Alexander Johansen,6.0,6.9,,5.5,7.7,11.8,2.1,6.1,-2.0,1.2,11.9,3.9,3.7,,8.4,0.5,5.7,2.6,,0.9,,-0.8,11.1,-3.0,7.2,3.1,7.6,1.6,-2.9,,1.5
s199023,Emil Pedersen,1.6,6.3,,6.2,1.8,,8.5,11.5,0.1,5.2,10.6,-0.4,-2.3,-1.5,9.0,2.6,9.3,,-1.1,11.8,4.9,0.1,7.8,0.7,-1.7,0.5,-2.2,-0.3,8.8,9.7,3.5
s196714,Louise Hansen,9.0,5.9,1.6,-0.8,10.5,9.9,5.9,4.2,9.9,6.3,7.6,3.8,1.2,5.4,-2.8,4.4,1.3,0.0,1.0,-2.2,8.4,5.8,1.1,6.5,-1.9,0.3,10.9,5.5,9.4,7.2,5.4
s191963,Sophie Bertelsen,9.6,2.5,3.5,9.6,2.3,3.7,8.2,6.1,4.9,,0.4,10.6,0.4,7.6,9.0,1.1,10.3,8.3,4.6,,6.3,3.8,5.2,6.0,4.0,2.5,0.7,7.1,5.2,-0.8,8.9
s221565,Hannah Lauridsen,8.8,,7.6,-0.5,6.3,-0.7,0.9,-0.5,1.5,2.7,-0.7,2.0,6.7,-2.0,,4.4,8.2,-2.5,1.9,-1.6,10.7,,,4.5,-1.6,11.3,0.1,8.7,8.3,4.9,-2.8
s208892,Liam Holm,-2.3,-1.0,11.0,1.7,-1.6,1.9,8.4,0.5,1.6,-2.7,3.1,2.2,7.4,0.8,10.1,,3.5,3.7,-0.4,-2.9,-0.3,-1.4,9.0,4.0,5.3,7.1,-2.1,-1.7,7.5,3.0,2.2
s226120,William Christensen,11.1,6.8,4.0,3.0,4.6,0.2,10.5,1.1,1.8,,,10.8,6.2,-1.5,-2.8,2.3,4.5,8.1,7.0,8.0,10.8,8.0,5.0,6.6,1.2,2.0,10.0,11.7,9.2,2.1,5.3
s191406,Oscar Laursen,9.3,5.9,7.6,-1.6,7.0,2.5,3.5,5.2,8.8,,-0.0,0.8,0.2,1.5,4.7,1.2,6.3,6.2,8.6,1.4,2.9,5.5,-1.7,4.9,9.1,-1.4,,4.2,7.6,8.9,5.0
s217192,Ava Lauridsen,9.7,-2.9,10.9,8.3,-1.7,9.9,1.2,4.7,3.5,10.1,7.4,0.1,2.0,-1.9,-0.7,1.3,0.6,6.1,7.3,-0.3,7.6,0.0,7.9,-2.4,-2.0,6.4,1.8,7.4,9.9,4.1,3.3
s233072,Emma Mortensen,2.5,2.5,8.2,9.7,1.8,11.0,11.2,9.7,-0.9,2.9,7.6,-2.0,9.3,6.6,6.7,7.2,-2.9,-2.4,10.9,5.2,-0.1,11.6,7.5,7.6,-2.9,2.6,8.9,11.0,-1.9,6.8,-1.5
