StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27
s192209,Ava Schmidt,2,4,4,4,2,7,4,,2,12,0,0,,12,0,0,0,4,4,12,7,4,4,4,10,2,
s206411,Ida Espersen,0,2,7,2,4,12,12,0,12,10,,0,4,0,7,4,7,10,4,0,0,0,4,0,7,2,2
s222081,Oliver Friis,7,10,10,4,7,4,0,4,2,0,12,4,4,4,,7,7,7,4,7,7,0,12,10,7,12,0
s201009,Victor Hjorth,0,4,2,2,,4,10,4,2,7,10,2,12,2,10,12,12,12,4,4,10,12,4,7,,2,4
s214566,Naja Jensen,2,4,12,12,2,2,7,4,7,2,0,12,4,4,2,4,2,4,4,,4,12,10,10,2,0,0
s224897,Nikolaj Lauridsen,7,4,7,4,12,4,2,2,2,2,4,10,4,12,0,0,,10,4,10,,2,12,4,0,2,7
s237356,Camilla Poulsen,4,4,12,,2,2,4,4,12,0,0,2,,7,7,12,4,4,7,4,0,10,4,4,4,12,10
s224686,Ella Johansen,4,10,10,4,4,2,4,4,7,4,4,4,10,12,10,4,0,10,12,4,2,4,7,0,2,0,7
s237127,Noah Thomsen,7,12,2,2,12,0,0,4,10,12,7,2,4,4,4,4,12,2,,12,12,0,7,7,2,7,12
s192828,Daniel Madsen,2,2,2,4,10,7,7,12,10,10,2,12,4,,,10,7,2,7,12,2,4,10,2,4,12,2
s214923,Sophia Mortensen,,2,10,7,10,10,10,4,2,10,4,4,,4,0,12,4,7,7,4,4,7,12,7,7,10,10
s191970,Alexander Nielsen,0,2,2,,7,12,10,12,10,10,10,2,4,0,0,2,0,,10,,4,12,7,4,10,12,0
s238818,Mikkel Hansen,10,0,7,12,12,2,12,4,2,4,2,12,10,0,4,10,4,4,7,0,4,4,10,12,4,4,7
s239455,Mason Vestergaard,0,0,12,12,10,7,12,2,12,,4,0,4,4,,10,2,7,7,12,10,4,4,10,10,4,0
s228343,Alexander Kjeldsen,10,,4,4,4,4,12,4,7,4,0,2,7,12,10,,4,4,7,7,0,12,0,0,12,7,12
s225899,Emma Espersen,7,4,7,4,0,0,7,7,7,4,4,,7,7,4,2,10,4,2,2,12,4,10,4,10,4,4
s231425,Anna Knudsen,0,4,2,2,7,4,4,12,2,10,4,10,2,0,4,4,0,4,12,2,2,,4,10,7,0,0
s212171,Emily Pedersen,10,4,4,4,,7,10,4,12,12,7,4,,,10,0,10,0,7,12,4,,2,4,7,10,4
s208857,Ida Hansen,12,10,4,12,10,,2,7,10,7,4,4,4,7,12,2,0,0,12,-3,0,10,2,10,0,10,12
s235065,Mia Hermansen,10,0,4,7,7,4,7,4,4,4,10,10,,4,10,7,4,12,,2,4,7,4,7,4,2,
s222022,Noah Hjorth,7,10,0,10,0,0,0,2,4,4,4,4,0,2,10,4,0,7,7,7,7,4,10,4,2,,10
s208861,Maria Gregersen,7,0,2,2,4,4,,10,12,4,10,10,4,2,0,4,4,0,4,4,4,2,2,0,12,2,2
s226263,Maria Iversen,7,12,4,4,7,4,10,7,0,0,7,12,2,12,4,7,10,12,10,10,4,7,0,12,7,4,4
s206902,Mikkel Lauridsen,0,4,4,0,2,2,4,4,0,10,7,12,4,12,4,4,12,7,2,10,0,4,12,0,4,0,4
s238444,William Hansen,12,4,7,4,2,10,12,0,12,10,4,4,12,2,,10,7,4,7,0,4,,4,2,7,4,2
s239795,Hannah Lauridsen,4,10,2,,12,2,2,10,2,2,4,4,0,7,10,12,4,4,4,0,4,2,4,7,2,10,0
s229655,Louise Møller,7,10,12,7,10,2,0,0,7,10,0,12,2,0,4,7,7,7,4,4,12,4,10,4,7,4,4
s201321,Daniel Holm,12,0,7,4,4,2,4,0,0,7,7,2,12,7,12,0,4,2,7,10,,4,10,10,4,,2
s228673,Oliver Rasmussen,10,12,10,7,10,12,0,10,7,2,12,10,12,,4,12,0,12,2,2,,4,0,4,7,4,2
s213166,Naja Hansen,0,2,4,4,,2,7,0,4,10,12,,4,7,4,12,10,7,7,12,7,,12,12,12,4,2
s226299,Daniel Mortensen,0,2,2,2,12,12,12,2,4,7,0,0,12,4,7,12,12,12,4,7,7,4,,12,4,2,4
s205410,Jacob Dahl,0,4,7,10,12,4,2,4,0,7,7,4,12,12,4,10,10,4,12,2,2,4,12,4,10,,0
s237552,Sebastian Johansen,10,0,12,2,2,,7,12,4,7,7,7,2,12,2,2,0,10,12,7,0,7,4,4,2,10,12
s193054,Anna Jakobsen,4,2,4,7,0,10,0,,12,4,10,,7,7,0,12,7,10,4,,0,7,12,4,10,0,0
s215210,Sophia Dahl,10,10,10,4,2,0,2,4,10,10,,4,4,,4,12,0,12,12,4,10,10,,12,4,4,0
s203593,Lea Kjeldsen,4,4,7,12,0,4,4,4,0,4,4,4,,,2,4,4,10,4,0,10,7,,7,12,10,2
s212530,Mia Espersen,2,4,12,4,4,4,4,10,4,4,4,2,7,0,4,10,4,7,12,4,0,2,12,12,4,7,10
s209374,Oliver Christiansen,4,12,0,0,12,12,4,4,7,10,7,0,12,4,0,12,12,4,4,12,10,7,10,4,12,2,10
s193647,Lea Rasmussen,12,4,12,10,0,4,0,7,7,2,7,4,7,4,0,4,10,2,4,2,7,12,2,4,4,4,4
s222271,Tobias Sørensen,10,4,0,,2,7,0,4,4,10,7,4,7,7,,4,12,4,2,10,12,7,12,12,2,0,0
s217246,Mikkel Holm,2,4,2,10,10,4,4,0,4,0,7,0,0,4,10,12,2,4,10,7,7,2,10,10,10,12,12
s206509,Alma Mortensen,7,4,4,7,10,12,0,7,0,10,4,2,4,4,4,4,4,4,12,4,4,0,7,2,12,0,2
s239516,Oliver Pedersen,7,2,0,,4,4,0,0,10,2,0,12,12,12,0,0,0,12,7,10,10,4,0,4,2,2,0
s191142,Sara Bertelsen,12,12,4,7,7,12,10,0,10,2,4,10,0,,0,10,4,10,0,4,10,12,12,2,0,7,7
s222013,Emma Jensen,12,4,2,4,12,12,4,2,4,10,4,0,0,4,0,4,4,12,2,10,7,7,0,4,12,10,0
s238910,Isabel Gregersen,0,,7,0,4,0,,10,7,10,12,12,0,2,10,7,4,4,,2,7,7,12,,4,4,2
s225490,Mathias Iversen,10,4,12,10,10,12,0,4,4,10,10,10,,4,2,4,7,4,2,0,4,2,10,10,2,12,0
s235745,Jacob Johansen,12,12,0,7,0,0,4,7,2,7,4,10,4,0,7,7,12,7,4,2,10,12,0,10,0,0,
s202650,Ida Holm,12,2,10,4,12,4,0,7,7,4,,7,10,,0,12,2,12,10,4,7,7,7,2,10,10,2
s237861,Luna Larsen,2,0,4,4,12,4,4,4,4,0,0,4,7,7,7,12,4,10,4,0,0,7,0,4,7,4,0
s213901,Viktoria Olsen,2,4,10,12,7,2,2,4,2,4,4,4,2,4,4,,12,2,12,10,,12,4,10,10,10,10
s197443,Adam Jakobsen,12,4,12,10,2,4,4,2,12,4,4,2,2,2,10,,4,10,4,7,7,7,4,10,4,4,0
s226579,Naja Thomsen,12,12,4,0,10,7,4,2,10,7,0,,12,12,12,10,2,10,4,0,7,4,7,0,7,10,7
s199824,Camilla Jensen,4,4,4,12,,0,10,0,2,2,2,12,10,7,4,4,4,4,,7,4,4,4,0,0,7,2
s207453,Emil Andersen,10,7,2,0,2,10,4,4,4,4,10,12,0,0,4,4,0,10,0,,10,7,4,10,7,,10
s208522,Oscar Jakobsen,0,4,10,12,4,4,10,4,10,12,10,10,12,4,4,4,4,2,12,2,12,0,4,10,12,4,7
s213115,Sophia Pedersen,10,2,7,7,12,,12,4,0,7,4,4,7,4,4,10,0,12,7,7,10,4,10,10,7,4,10
s221010,Tobias Lauridsen,4,4,4,7,10,7,4,7,4,4,4,4,2,4,2,2,2,4,10,7,0,2,2,4,4,2,12
s233273,William Andersen,,4,4,12,7,4,12,12,7,0,4,4,2,4,2,12,4,7,,7,2,10,7,12,12,7,10
s236908,Oliver Schmidt,4,4,7,4,7,4,0,2,7,4,12,12,0,4,12,12,7,0,7,10,4,2,4,12,4,7,7
s223350,Mathias Friis,4,2,12,2,4,0,0,4,4,4,,4,0,4,2,12,12,2,0,4,12,0,4,4,,4,10
s213057,Benjamin Jakobsen,2,4,2,10,10,2,10,2,7,4,7,4,,2,0,4,7,2,12,0,4,0,0,10,12,4,4
s227835,Oliver Mortensen,2,4,0,4,2,4,7,10,12,0,12,,,2,7,12,4,2,4,12,12,12,4,12,12,10,4
s239734,Anna Christensen,0,10,0,0,0,,4,7,2,10,0,4,2,0,4,10,0,7,7,12,2,2,10,0,4,4,4
s239341,David Schmidt,7,,10,12,4,12,4,10,2,10,4,0,4,2,12,7,2,0,4,4,2,12,0,4,7,0,10
s205360,Maria Petersen,12,12,7,10,12,7,10,0,4,2,4,2,10,7,12,4,4,10,0,0,10,0,7,10,0,4,12
s201961,Liam Johansen,4,0,2,4,10,4,10,0,4,2,4,12,10,12,4,12,12,7,10,2,,4,2,10,4,12,2
s218397,Magnus Holm,2,10,4,4,4,10,4,0,0,10,4,12,0,7,7,2,0,2,0,10,4,0,2,4,2,10,12
s231828,Benjamin Carstensen,,4,2,10,0,4,7,4,10,12,10,4,12,4,4,12,7,4,4,0,4,0,4,12,4,4,0
s218380,Clara Poulsen,12,4,0,2,7,10,10,10,4,0,12,7,12,2,10,10,4,,4,4,7,0,,12,4,12,12
s199465,Mikkel Petersen,10,12,4,2,4,,12,4,10,0,7,4,2,10,12,12,10,7,0,12,7,0,4,2,12,4,4
s191491,Sophie Vestergaard,12,2,10,7,2,2,2,2,12,4,0,4,0,10,4,4,7,7,4,4,7,4,7,0,10,10,7
s226942,Mathias Holm,10,4,2,12,4,7,10,2,12,4,,4,0,4,0,7,7,7,0,0,2,7,0,10,4,4,10
s196180,Daniel Vestergaard,7,0,7,7,10,,4,12,7,4,4,7,10,12,4,4,4,4,4,0,12,10,10,2,4,12,10
s208277,Mason Mortensen,4,4,4,10,7,0,0,4,4,2,12,,12,4,12,4,2,2,2,0,7,2,4,2,7,4,4
s216806,Sara Hjorth,10,2,,4,0,12,7,12,10,4,12,0,2,7,10,10,12,4,4,4,12,4,4,2,12,7,
s218846,Mason Kristensen,4,7,4,0,4,4,4,0,,7,10,0,0,4,7,,7,4,2,2,0,4,0,2,2,4,
s233576,Ella Vestergaard,10,2,7,10,,2,,7,4,4,0,7,12,12,4,12,12,0,10,0,,7,4,12,4,2,10
s231401,Isabel Vestergaard,0,4,2,12,4,2,4,7,12,4,12,4,4,0,10,4,0,12,10,10,12,4,12,2,0,4,7
s201589,Emil Carstensen,2,7,0,10,7,4,,0,2,10,4,12,10,4,4,7,4,,4,12,4,,4,12,4,2,10
s218876,Frederik Hansen,10,7,12,0,,12,0,12,4,10,4,0,2,4,0,12,0,0,,2,0,10,0,4,0,4,10
s231505,Anna Lauridsen,4,,2,2,12,12,4,0,7,0,,0,10,12,10,0,10,0,2,0,12,12,4,4,7,12,2
s195326,Sara Krogh,7,2,10,2,4,10,12,12,12,0,4,7,4,10,4,0,12,,4,10,4,12,4,10,2,2,0
s214272,Magnus Hansen,12,4,4,2,0,4,7,10,4,12,7,7,2,7,0,12,,4,7,10,4,12,4,4,2,0,4
s199561,Mikkel Eriksen,7,4,2,10,4,7,2,12,10,10,10,4,7,4,4,10,12,12,10,2,12,7,4,4,7,7,0
s236699,Magnus Laursen,7,0,,2,4,0,4,4,10,0,4,4,2,12,4,12,4,4,4,2,4,12,4,4,12,2,4
s202996,Sara Thomsen,12,12,7,0,10,2,4,12,12,7,7,7,7,10,7,0,7,,2,10,4,2,12,10,10,0,0
s227547,Sebastian Rasmussen,0,0,0,2,12,0,4,0,0,2,2,4,7,7,,4,7,0,4,10,4,4,2,2,4,7,12
s223172,Emil Sørensen,10,2,12,2,4,2,4,,4,2,4,10,,7,4,,0,0,12,2,,4,4,0,7,,0
s225656,Hannah Knudsen,2,10,0,0,2,0,7,4,4,7,0,4,4,4,7,0,2,12,,10,2,4,,4,2,4,7
s222572,Frederik Petersen,4,10,10,4,4,7,,7,,0,2,10,0,4,0,12,2,4,2,4,7,4,2,10,7,4,2
s207840,Isabella Jensen,,4,4,4,0,2,2,7,10,0,4,4,0,2,4,,4,,4,10,7,0,0,2,10,4,4
s216087,Victor Lauridsen,4,10,4,2,2,4,4,10,4,0,4,0,2,4,7,7,0,4,4,10,,2,10,12,2,4,0
s212564,Emily Larsen,12,0,2,,12,10,12,12,0,4,0,4,4,4,4,4,12,7,12,0,12,2,0,10,7,4,4
s237970,Maria Vestergaard,7,4,10,0,0,10,4,10,0,,10,4,12,10,10,12,4,4,,10,12,4,2,7,2,4,0
s217973,Mikkel Laursen,12,4,10,4,10,12,12,12,4,4,4,12,0,,12,4,10,7,12,4,4,4,12,4,4,7,10
s232060,Mathias Rasmussen,7,7,10,0,12,2,12,4,10,10,0,10,2,4,4,4,4,12,4,,12,10,4,4,7,2,4
s208603,Emily Bertelsen,12,4,7,4,12,12,7,4,10,0,4,10,7,,2,2,10,7,4,4,2,7,7,2,12,2,10
s212299,Hannah Larsen,4,0,7,12,7,2,12,7,4,7,4,2,7,10,0,10,12,0,10,7,,0,4,4,0,4,4
s215258,Elias Iversen,12,12,4,0,0,12,10,,10,2,7,7,12,10,0,,0,4,4,12,12,4,7,12,,7,2
s217777,Ella Bach,0,4,12,0,7,7,4,7,7,0,4,7,4,12,4,0,2,,0,4,10,12,,7,2,10,4
s203220,Victor Rasmussen,12,12,7,0,12,7,7,4,4,12,4,2,0,4,,7,12,4,2,4,12,7,4,12,10,0,2
s239868,Magnus Schmidt,10,4,10,0,7,,4,10,0,2,4,2,2,2,10,7,10,2,4,4,2,2,10,7,7,12,4
s212636,Alma Lauridsen,10,7,4,2,2,7,0,7,12,4,0,4,10,2,12,4,4,,,0,7,,10,10,0,10,4
s192109,Sophie Christiansen,10,7,10,4,0,12,10,2,2,7,4,0,2,4,0,0,10,0,12,12,2,4,,,2,12,4
s228711,Magnus Møller,10,4,4,7,2,0,4,2,2,10,2,4,0,2,0,12,2,4,7,4,7,4,12,12,4,7,4
s226535,Amelia Bach,7,10,12,7,0,4,2,4,2,4,7,4,7,12,7,4,2,4,4,12,7,12,4,4,12,4,2
s198112,Frederik Jørgensen,10,4,10,0,10,7,4,4,0,2,12,0,12,2,2,4,2,4,0,12,0,7,2,7,4,2,10
s205272,Maria Mortensen,4,,2,2,4,10,4,4,12,12,4,7,7,0,12,12,7,10,,7,12,2,0,2,,4,12
s206319,Simon Hansen,4,12,2,4,12,7,7,,,10,0,10,0,10,7,0,2,12,12,0,2,0,4,4,10,2,10
s213786,Jonas Laursen,7,12,10,12,2,2,7,10,7,4,2,2,0,4,2,12,4,4,2,10,7,10,7,7,4,7,
s227487,Ida Christiansen,12,7,12,4,10,,7,12,4,,4,12,7,10,7,0,7,12,4,0,7,0,10,10,4,10,2
s196603,Ella Rasmussen,,10,0,12,7,4,0,2,4,7,4,2,,10,10,4,7,2,4,10,0,,10,0,7,4,
s206592,Victor Madsen,0,2,12,7,0,12,10,4,2,4,7,4,4,7,4,12,2,0,7,10,12,4,12,4,12,7,0
s194273,Amelia Johansen,4,4,12,7,2,12,2,7,2,4,4,0,7,,4,4,7,7,4,4,0,2,10,4,0,4,0
s233615,Sophie Lauridsen,2,4,4,,0,4,4,0,,4,12,12,,12,2,4,2,12,0,12,,10,4,7,4,2,7
s209776,Lily Espersen,7,12,0,10,4,4,2,4,4,7,10,0,7,10,4,,10,0,0,12,4,4,0,2,0,4,4
s232655,Benjamin Møller,,10,0,2,4,4,2,4,12,10,0,4,0,7,10,4,2,10,4,12,7,2,12,10,7,7,0
s235453,David Thomsen,7,4,2,4,0,4,7,2,4,4,4,0,7,4,12,2,12,12,4,10,10,7,2,7,2,4,10
