StudentID,Name,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Assignment10,Assignment11,Assignment12,Assignment13,Assignment14,Assignment15,Assignment16,Assignment17,Assignment18,Assignment19,Assignment20,Assignment21,Assignment22,Assignment23,Assignment24,Assignment25,Assignment26,Assignment27,Assignment28,Assignment29,Assignment30,Assignment31,Assignment32,Assignment33,Assignment34,Assignment35,Assignment36,Assignment37,Assignment38
s226872,Tobias Johansen,4
s216107,Sara Christensen,-3
s231792,Sebastian Jørgensen,-3
s228849,Jonas Jensen,2
s238020,Sophia Hjorth,4
s194519,Alexander Olsen,12
s217806,Mia Christiansen,4
s228316,Sophie Bertelsen,0
s232858,Maria Lauridsen,2
s204806,Noah Gregersen,-3
s202050,David Larsen,4
s211412,Emily Bertelsen,12
s205509,Ava Mortensen,12
s207382,David Pedersen,12
s223468,Tobias Petersen,12
s196704,Mason Rasmussen,10
s237672,Nikolaj Pedersen,4
s217108,Mikkel Iversen,12
s233927,Mia Bach,12
s218230,Lucas Andersen,12
s233300,Naja Jørgensen,10
s212634,Alexander Johansen,2
s209402,Jacob Andersen,12
s235616,David Hansen,4
s231536,Liam Schmidt,4
s235923,Noah Jensen,0
s197700,Maria Dahl,-3
s196007,Adam Schmidt,4
s222050,Simon Carstensen,0
s211759,Alma Lauridsen,4
s202154,Victor Thomsen,4
s213467,Tobias Christensen,10
s218003,Sebastian Jakobsen,4
s208007,Naja Holm,10
s209571,Naja Schmidt,2
s233501,Sara Jensen,4
s224776,Luna Jørgensen,0
s208484,Luna Gregersen,10
s233386,Mia Holm,0
s217663,Isabel Hansen,4
s227905,Viktoria Dahl,4
s192458,William Olsen,10
s194100,Clara Olsen,12
s212133,Hannah Knudsen,7
s204947,Daniel Hansen,-3
s217291,Maria Jakobsen,-3
s214557,Simon Andersen,7
s219472,Ida Pedersen,2
s202989,Oliver Lauridsen,0
s225460,Clara Nielsen,10
s223963,Olivia Schmidt,2
s195108,Clara Lauridsen,7
s216395,Liam Jørgensen,10
s206075,Ella Johansen,-3
s235341,Anna Jensen,12
s208488,David Rasmussen,2
s194500,Frederik Hjorth,4
s229511,Ella Dahl,0
s216133,Jonas Rasmussen,12
s198829,Ava Laursen,4
s211179,Mia Jakobsen,-3
s212723,Mathias Espersen,2
s192315,Naja Knudsen,4
s223426,Camilla Bach,-3
s201419,Jacob Thomsen,10
s207538,Mathias Schmidt,12
s205390,Ida Poulsen,12
s194814,William Poulsen,7
s237340,Alexander Friis,2
s219987,Adam Holm,12
s195069,Olivia Bertelsen,4
s239985,Emily Christensen,4
s221369,Amelia Friis,4
s213648,Maria Vestergaard,10
s191894,Emil Schmidt,-3
s207812,Tobias Iversen,12
s211422,Adam Jensen,0
s214342,Emma Eriksen,7
s217325,Daniel Eriksen,12
s216739,Emil Møller,12
s215508,Maria Poulsen,4
s209286,Sebastian Pedersen,10
s228370,Liam Mortensen,2
s209036,Naja Eriksen,2
s208729,Lea Hansen,-3
s222528,Lily Schmidt,10
s202959,Simon Christiansen,2
s194304,Emma Krogh,10
s213707,Alma Carstensen,12
s201188,Isabel Pedersen,12
s197852,Louise Knudsen,0
s217615,Luna Poulsen,2
s194386,Noah Jakobsen,4
s234956,Mia Larsen,10
s239263,Ella Møller,0
s212981,Lea Knudsen,0
s198605,Alma Rasmussen,0
s193167,Viktoria Jakobsen,7
s234652,Olivia Mortensen,7
s215697,Simon Petersen,0
s192868,Maria Jørgensen,4
s197600,Oscar Holm,12
s233570,Luna Mortensen,2
s218803,Simon Møller,4
s227369,David Nielsen,10
s223354,Elias Pedersen,4
s237002,Sebastian Hansen,10
s227335,Viktoria Pedersen,10
s236324,David Knudsen,2
s212155,Jonas Lauridsen,0
s211862,Viktoria Hansen,10
s198785,Alma Kjeldsen,12
s208732,Isabel Eriksen,12
s199881,Oscar Krogh,4
s237457,Ava Sørensen,4
s195568,Emily Vestergaard,2
s237625,Isabella Hansen,0
s225933,Jacob Rasmussen,12
s216668,Tobias Thomsen,12
s201820,Mathias Laursen,0
s228212,Sebastian Iversen,4
s224720,Mia Madsen,12
s227858,Lily Mortensen,4
s201313,Sophie Lauridsen,2
s231033,Alma Madsen,12
s223209,Mason Jensen,12
s211653,Emily Hansen,7
s227913,Oscar Laursen,7
s205053,Victor Olsen,4
s234142,Ava Bertelsen,12
s208704,Sebastian Dahl,10
s216435,Clara Jakobsen,2
s199407,Maria Mortensen,2
s196978,Lea Nielsen,-3
s217797,Mikkel Gregersen,4
s196563,Ava Iversen,2
s214063,Emma Vestergaard,0
s233937,Naja Lauridsen,4
s227694,Mason Poulsen,12
s212228,Hannah Dahl,-3
s221437,Mikkel Jakobsen,7
s194089,Alma Hermansen,2
s233274,Benjamin Lauridsen,10
s227280,Sebastian Vestergaard,10
s214231,Nikolaj Bach,12
s221501,Benjamin Holm,2
s208180,Isabella Christensen,2
s204686,Ella Madsen,2
s209412,Alma Krogh,7
s233126,Louise Friis,7
s211712,Sophie Møller,2
s219993,Maria Holm,4
s191240,Camilla Friis,2
s207368,Adam Bertelsen,4
s194836,Elias Olsen,12
s222903,Isabella Hermansen,-3
s207362,Mikkel Hansen,2
s224722,Adam Carstensen,4
s239798,Elias Hermansen,12
s235808,Elias Dahl,12
s221519,Clara Rasmussen,2
s212750,Sara Holm,12
s206059,Alma Poulsen,-3
s222300,Elias Schmidt,4
s197148,Mason Laursen,2
s211635,Victor Rasmussen,-3
s206192,Naja Jakobsen,0
s219638,Frederik Friis,2
s222949,Emma Petersen,0
s239055,Olivia Petersen,0
s205476,Frederik Jakobsen,-3
s225597,Mia Hjorth,10
